raceId,year,round,name_race,date,circuitId,name_circuit
812,1953,5,French Grand Prix,1953-07-05,55,Reims-Gueux
813,1953,6,British Grand Prix,1953-07-18,9,Silverstone Circuit
814,1953,7,German Grand Prix,1953-08-02,20,Nürburgring
815,1953,8,Swiss Grand Prix,1953-08-23,66,Circuit Bremgarten
816,1953,9,Italian Grand Prix,1953-09-13,14,Autodromo Nazionale di Monza
817,1952,1,Swiss Grand Prix,1952-05-18,66,Circuit Bremgarten
818,1952,2,Indianapolis 500,1952-05-30,19,Indianapolis Motor Speedway
819,1952,3,Belgian Grand Prix,1952-06-22,13,Circuit de Spa-Francorchamps
820,1952,4,French Grand Prix,1952-07-06,53,Rouen-Les-Essarts
821,1952,5,British Grand Prix,1952-07-19,9,Silverstone Circuit
822,1952,6,German Grand Prix,1952-08-03,20,Nürburgring
