raceId,year,round,name_race,date,circuitId,name_circuit
521,1979,10,German Grand Prix,1979-07-29,10,Hockenheimring
522,1979,11,Austrian Grand Prix,1979-08-12,70,Red Bull Ring
523,1979,12,Dutch Grand Prix,1979-08-26,39,Circuit Park Zandvoort
524,1979,13,Italian Grand Prix,1979-09-09,14,Autodromo Nazionale di Monza
525,1979,14,Canadian Grand Prix,1979-09-30,7,Circuit Gilles Villeneuve
526,1979,15,United States Grand Prix,1979-10-07,46,Watkins Glen
527,1978,1,Argentine Grand Prix,1978-01-15,25,Autódromo Juan y Oscar Gálvez
528,1978,2,Brazilian Grand Prix,1978-01-29,36,Autódromo Internacional Nelson Piquet
529,1978,3,South African Grand Prix,1978-03-04,30,Kyalami
530,1978,4,United States Grand Prix West,1978-04-02,43,Long Beach
531,1978,5,Monaco Grand Prix,1978-05-07,6,Circuit de Monaco
532,1978,6,Belgian Grand Prix,1978-05-21,40,Zolder
533,1978,7,Spanish Grand Prix,1978-06-04,45,Jarama
534,1978,8,Swedish Grand Prix,1978-06-17,47,Scandinavian Raceway
535,1978,9,French Grand Prix,1978-07-02,34,Circuit Paul Ricard
536,1978,10,British Grand Prix,1978-07-16,38,Brands Hatch
537,1978,11,German Grand Prix,1978-07-30,10,Hockenheimring
538,1978,12,Austrian Grand Prix,1978-08-13,70,Red Bull Ring
539,1978,13,Dutch Grand Prix,1978-08-27,39,Circuit Park Zandvoort
540,1978,14,Italian Grand Prix,1978-09-10,14,Autodromo Nazionale di Monza
541,1978,15,United States Grand Prix,1978-10-01,46,Watkins Glen
542,1978,16,Canadian Grand Prix,1978-10-08,7,Circuit Gilles Villeneuve
543,1977,1,Argentine Grand Prix,1977-01-09,25,Autódromo Juan y Oscar Gálvez
544,1977,2,Brazilian Grand Prix,1977-01-23,18,Autódromo José Carlos Pace
545,1977,3,South African Grand Prix,1977-03-05,30,Kyalami
546,1977,4,United States Grand Prix West,1977-04-03,43,Long Beach
547,1977,5,Spanish Grand Prix,1977-05-08,45,Jarama
548,1977,6,Monaco Grand Prix,1977-05-22,6,Circuit de Monaco
549,1977,7,Belgian Grand Prix,1977-06-05,40,Zolder
550,1977,8,Swedish Grand Prix,1977-06-19,47,Scandinavian Raceway
551,1977,9,French Grand Prix,1977-07-03,41,Dijon-Prenois
552,1977,10,British Grand Prix,1977-07-16,9,Silverstone Circuit
553,1977,11,German Grand Prix,1977-07-31,10,Hockenheimring
554,1977,12,Austrian Grand Prix,1977-08-14,70,Red Bull Ring
555,1977,13,Dutch Grand Prix,1977-08-28,39,Circuit Park Zandvoort
556,1977,14,Italian Grand Prix,1977-09-11,14,Autodromo Nazionale di Monza
557,1977,15,United States Grand Prix,1977-10-02,46,Watkins Glen
558,1977,16,Canadian Grand Prix,1977-10-09,48,Mosport International Raceway
559,1977,17,Japanese Grand Prix,1977-10-23,16,Fuji Speedway
560,1976,1,Brazilian Grand Prix,1976-01-25,18,Autódromo José Carlos Pace
561,1976,2,South African Grand Prix,1976-03-06,30,Kyalami
562,1976,3,United States Grand Prix West,1976-03-28,43,Long Beach
563,1976,4,Spanish Grand Prix,1976-05-02,45,Jarama
564,1976,5,Belgian Grand Prix,1976-05-16,40,Zolder
565,1976,6,Monaco Grand Prix,1976-05-30,6,Circuit de Monaco
566,1976,7,Swedish Grand Prix,1976-06-13,47,Scandinavian Raceway
567,1976,8,French Grand Prix,1976-07-04,34,Circuit Paul Ricard
568,1976,9,British Grand Prix,1976-07-18,38,Brands Hatch
569,1976,10,German Grand Prix,1976-08-01,20,Nürburgring
570,1976,11,Austrian Grand Prix,1976-08-15,70,Red Bull Ring
571,1976,12,Dutch Grand Prix,1976-08-29,39,Circuit Park Zandvoort
572,1976,13,Italian Grand Prix,1976-09-12,14,Autodromo Nazionale di Monza
573,1976,14,Canadian Grand Prix,1976-10-03,48,Mosport International Raceway
574,1976,15,United States Grand Prix,1976-10-10,46,Watkins Glen
575,1976,16,Japanese Grand Prix,1976-10-24,16,Fuji Speedway
576,1975,1,Argentine Grand Prix,1975-01-12,25,Autódromo Juan y Oscar Gálvez
577,1975,2,Brazilian Grand Prix,1975-01-26,18,Autódromo José Carlos Pace
578,1975,3,South African Grand Prix,1975-03-01,30,Kyalami
579,1975,4,Spanish Grand Prix,1975-04-27,49,Montjuïc
580,1975,5,Monaco Grand Prix,1975-05-11,6,Circuit de Monaco
581,1975,6,Belgian Grand Prix,1975-05-25,40,Zolder
582,1975,7,Swedish Grand Prix,1975-06-08,47,Scandinavian Raceway
583,1975,8,Dutch Grand Prix,1975-06-22,39,Circuit Park Zandvoort
584,1975,9,French Grand Prix,1975-07-06,34,Circuit Paul Ricard
585,1975,10,British Grand Prix,1975-07-19,9,Silverstone Circuit
586,1975,11,German Grand Prix,1975-08-03,20,Nürburgring
587,1975,12,Austrian Grand Prix,1975-08-17,70,Red Bull Ring
588,1975,13,Italian Grand Prix,1975-09-07,14,Autodromo Nazionale di Monza
589,1975,14,United States Grand Prix,1975-10-05,46,Watkins Glen
590,1974,1,Argentine Grand Prix,1974-01-13,25,Autódromo Juan y Oscar Gálvez
591,1974,2,Brazilian Grand Prix,1974-01-27,18,Autódromo José Carlos Pace
592,1974,3,South African Grand Prix,1974-03-30,30,Kyalami
593,1974,4,Spanish Grand Prix,1974-04-28,45,Jarama
594,1974,5,Belgian Grand Prix,1974-05-12,50,Nivelles-Baulers
595,1974,6,Monaco Grand Prix,1974-05-26,6,Circuit de Monaco
596,1974,7,Swedish Grand Prix,1974-06-09,47,Scandinavian Raceway
597,1974,8,Dutch Grand Prix,1974-06-23,39,Circuit Park Zandvoort
598,1974,9,French Grand Prix,1974-07-07,41,Dijon-Prenois
599,1974,10,British Grand Prix,1974-07-20,38,Brands Hatch
600,1974,11,German Grand Prix,1974-08-04,20,Nürburgring
601,1974,12,Austrian Grand Prix,1974-08-18,70,Red Bull Ring
602,1974,13,Italian Grand Prix,1974-09-08,14,Autodromo Nazionale di Monza
603,1974,14,Canadian Grand Prix,1974-09-22,48,Mosport International Raceway
604,1974,15,United States Grand Prix,1974-10-06,46,Watkins Glen
605,1973,1,Argentine Grand Prix,1973-01-28,25,Autódromo Juan y Oscar Gálvez
606,1973,2,Brazilian Grand Prix,1973-02-11,18,Autódromo José Carlos Pace
607,1973,3,South African Grand Prix,1973-03-03,30,Kyalami
608,1973,4,Spanish Grand Prix,1973-04-29,49,Montjuïc
609,1973,5,Belgian Grand Prix,1973-05-20,40,Zolder
610,1973,6,Monaco Grand Prix,1973-06-03,6,Circuit de Monaco
611,1973,7,Swedish Grand Prix,1973-06-17,47,Scandinavian Raceway
612,1973,8,French Grand Prix,1973-07-01,34,Circuit Paul Ricard
613,1973,9,British Grand Prix,1973-07-14,9,Silverstone Circuit
614,1973,10,Dutch Grand Prix,1973-07-29,39,Circuit Park Zandvoort
615,1973,11,German Grand Prix,1973-08-05,20,Nürburgring
616,1973,12,Austrian Grand Prix,1973-08-19,70,Red Bull Ring
617,1973,13,Italian Grand Prix,1973-09-09,14,Autodromo Nazionale di Monza
618,1973,14,Canadian Grand Prix,1973-09-23,48,Mosport International Raceway
619,1973,15,United States Grand Prix,1973-10-07,46,Watkins Glen
620,1972,1,Argentine Grand Prix,1972-01-23,25,Autódromo Juan y Oscar Gálvez
621,1972,2,South African Grand Prix,1972-03-04,30,Kyalami
622,1972,3,Spanish Grand Prix,1972-05-01,45,Jarama
623,1972,4,Monaco Grand Prix,1972-05-14,6,Circuit de Monaco
624,1972,5,Belgian Grand Prix,1972-06-04,50,Nivelles-Baulers
625,1972,6,French Grand Prix,1972-07-02,51,Charade Circuit
626,1972,7,British Grand Prix,1972-07-15,38,Brands Hatch
627,1972,8,German Grand Prix,1972-07-30,20,Nürburgring
628,1972,9,Austrian Grand Prix,1972-08-13,70,Red Bull Ring
629,1972,10,Italian Grand Prix,1972-09-10,14,Autodromo Nazionale di Monza
630,1972,11,Canadian Grand Prix,1972-09-24,48,Mosport International Raceway
631,1972,12,United States Grand Prix,1972-10-08,46,Watkins Glen
632,1971,1,South African Grand Prix,1971-03-06,30,Kyalami
633,1971,2,Spanish Grand Prix,1971-04-18,49,Montjuïc
634,1971,3,Monaco Grand Prix,1971-05-23,6,Circuit de Monaco
635,1971,4,Dutch Grand Prix,1971-06-20,39,Circuit Park Zandvoort
636,1971,5,French Grand Prix,1971-07-04,34,Circuit Paul Ricard
637,1971,6,British Grand Prix,1971-07-17,9,Silverstone Circuit
638,1971,7,German Grand Prix,1971-08-01,20,Nürburgring
639,1971,8,Austrian Grand Prix,1971-08-15,70,Red Bull Ring
640,1971,9,Italian Grand Prix,1971-09-05,14,Autodromo Nazionale di Monza
641,1971,10,Canadian Grand Prix,1971-09-19,48,Mosport International Raceway
642,1971,11,United States Grand Prix,1971-10-03,46,Watkins Glen
643,1970,1,South African Grand Prix,1970-03-07,30,Kyalami
644,1970,2,Spanish Grand Prix,1970-04-19,45,Jarama
645,1970,3,Monaco Grand Prix,1970-05-10,6,Circuit de Monaco
646,1970,4,Belgian Grand Prix,1970-06-07,13,Circuit de Spa-Francorchamps
647,1970,5,Dutch Grand Prix,1970-06-21,39,Circuit Park Zandvoort
648,1970,6,French Grand Prix,1970-07-05,51,Charade Circuit
649,1970,7,British Grand Prix,1970-07-18,38,Brands Hatch
650,1970,8,German Grand Prix,1970-08-02,10,Hockenheimring
651,1970,9,Austrian Grand Prix,1970-08-16,70,Red Bull Ring
652,1970,10,Italian Grand Prix,1970-09-06,14,Autodromo Nazionale di Monza
653,1970,11,Canadian Grand Prix,1970-09-20,52,Circuit Mont-Tremblant
654,1970,12,United States Grand Prix,1970-10-04,46,Watkins Glen
655,1970,13,Mexican Grand Prix,1970-10-25,32,Autódromo Hermanos Rodríguez
656,1969,1,South African Grand Prix,1969-03-01,30,Kyalami
657,1969,2,Spanish Grand Prix,1969-05-04,49,Montjuïc
658,1969,3,Monaco Grand Prix,1969-05-18,6,Circuit de Monaco
659,1969,4,Dutch Grand Prix,1969-06-21,39,Circuit Park Zandvoort
660,1969,5,French Grand Prix,1969-07-06,51,Charade Circuit
661,1969,6,British Grand Prix,1969-07-19,9,Silverstone Circuit
662,1969,7,German Grand Prix,1969-08-03,20,Nürburgring
663,1969,8,Italian Grand Prix,1969-09-07,14,Autodromo Nazionale di Monza
664,1969,9,Canadian Grand Prix,1969-09-20,48,Mosport International Raceway
665,1969,10,United States Grand Prix,1969-10-05,46,Watkins Glen
666,1969,11,Mexican Grand Prix,1969-10-19,32,Autódromo Hermanos Rodríguez
667,1968,1,South African Grand Prix,1968-01-01,30,Kyalami
668,1968,2,Spanish Grand Prix,1968-05-12,45,Jarama
669,1968,3,Monaco Grand Prix,1968-05-26,6,Circuit de Monaco
670,1968,4,Belgian Grand Prix,1968-06-09,13,Circuit de Spa-Francorchamps
671,1968,5,Dutch Grand Prix,1968-06-23,39,Circuit Park Zandvoort
672,1968,6,French Grand Prix,1968-07-07,53,Rouen-Les-Essarts
673,1968,7,British Grand Prix,1968-07-20,38,Brands Hatch
674,1968,8,German Grand Prix,1968-08-04,20,Nürburgring
675,1968,9,Italian Grand Prix,1968-09-08,14,Autodromo Nazionale di Monza
676,1968,10,Canadian Grand Prix,1968-09-22,52,Circuit Mont-Tremblant
677,1968,11,United States Grand Prix,1968-10-06,46,Watkins Glen
678,1968,12,Mexican Grand Prix,1968-11-03,32,Autódromo Hermanos Rodríguez
679,1967,1,South African Grand Prix,1967-01-02,30,Kyalami
680,1967,2,Monaco Grand Prix,1967-05-07,6,Circuit de Monaco
681,1967,3,Dutch Grand Prix,1967-06-04,39,Circuit Park Zandvoort
682,1967,4,Belgian Grand Prix,1967-06-18,13,Circuit de Spa-Francorchamps
683,1967,5,French Grand Prix,1967-07-02,54,Le Mans
684,1967,6,British Grand Prix,1967-07-15,9,Silverstone Circuit
685,1967,7,German Grand Prix,1967-08-06,20,Nürburgring
686,1967,8,Canadian Grand Prix,1967-08-27,48,Mosport International Raceway
687,1967,9,Italian Grand Prix,1967-09-10,14,Autodromo Nazionale di Monza
688,1967,10,United States Grand Prix,1967-10-01,46,Watkins Glen
689,1967,11,Mexican Grand Prix,1967-10-22,32,Autódromo Hermanos Rodríguez
690,1966,1,Monaco Grand Prix,1966-05-22,6,Circuit de Monaco
691,1966,2,Belgian Grand Prix,1966-06-12,13,Circuit de Spa-Francorchamps
692,1966,3,French Grand Prix,1966-07-03,55,Reims-Gueux
693,1966,4,British Grand Prix,1966-07-16,38,Brands Hatch
694,1966,5,Dutch Grand Prix,1966-07-24,39,Circuit Park Zandvoort
695,1966,6,German Grand Prix,1966-08-07,20,Nürburgring
696,1966,7,Italian Grand Prix,1966-09-04,14,Autodromo Nazionale di Monza
697,1966,8,United States Grand Prix,1966-10-02,46,Watkins Glen
